6,Information Centres in Block Panchayats,20.00,"The objective of the scheme is to set up Block Information Centers (BIC) in Block Panchayats, which would function as a ‘Kiosk of Information’ for the purpose of providing all information regarding service delivery and development schemes to the rural people. It would act as a single window for providing the necessities of the people nearby. 
The BICs should provide web-enabled e-governance services in rural areas, including application forms, certificates, and utility payments such as electricity, telephone and water bills and access to socio-economic databases. Other services such as e-learning (computer-aided learning processes) and e-education, e-consulting (e-OP Booking), e-governance applications and citizen-centric services should also be provided. The BICs would create IT awareness among local people, conduct computer training programmes and disseminate tender notification and e-employment notification. An amount of ₹20.00 lakh is provided for the scheme during 2021-22.","['The objective of the scheme is to set up Block Information Centers (BIC) in Block Panchayats, which would function as a ‘Kiosk of Information’ for the purpose of providing all information regarding service delivery and development schemes to the rural people.', 'It would act as a single window for providing the necessities of the people nearby.', 'The BICs should provide web-enabled e-governance services in rural areas, including application forms, certificates, and utility payments such as electricity, telephone and water bills and access to socio-economic databases.', 'Other services such as e-learning (computer-aided learning processes) and e-education, e-consulting (e-OP Booking), e-governance applications and citizen-centric services should also be provided.', 'The BICs would create IT awareness among local people, conduct computer training programmes and disseminate tender notification and e-employment notification.', 'An amount of ₹20.00 lakh is provided for the scheme during 2021-22.']",An amount of ₹20.00 lakh is provided for the scheme during 2021-22.
7,Pradhan Mantri Krishi Sinchai Yojana (PMKSY) - Watershed Component (40% State Share),1000.00,"The Government of India merged the erstwhile Integrated Watershed Management Programme (IWMP) with the Pradhan Mantri Krishi Sinchai Yojana (PMKSY) in 2015-16 and thereafter IWMP is being implemented as watershed component of the PMKSY. Rain water conservation, construction of farm ponds, water harvesting structures, small check dams, contour bunding etc. are included in this programme. The present cost norm is ₹15,000/- per hectare for hilly areas and ₹12,000/- per hectare for plain areas. The sharing pattern of the scheme between Central and State Government is in the ratio of 60:40. A portion of Natural Resource Management (NRM) works of PMKSY can be converged with MGNREGS. 
Government of India had announced the launching of new generation watersheds based on revised guidelines. On getting approval of new projects by Government of India by 2021-22, the preparatory phase of implementation of new projects has to be undertaken. The major activities expected in 2021-22 are preparation of Detailed Project Reports, execution of entry point activities, capacity building and other related activities. 
The scheme comes under the broad umbrella of ‘Haritha Keralam Mission’. An amount of ₹1000.00 lakh is provided for meeting the 40% State share of PMKSY - Watershed component projects during 2021-22.","['The Government of India merged the erstwhile Integrated Watershed Management Programme (IWMP) with the Pradhan Mantri Krishi Sinchai Yojana (PMKSY) in 2015-16 and thereafter IWMP is being implemented as watershed component of the PMKSY.', 'Rain water conservation, construction of farm ponds, water harvesting structures, small check dams, contour bunding etc.', 'are included in this programme.', 'The present cost norm is ₹15,000/- per hectare for hilly areas and ₹12,000/- per hectare for plain areas.', 'The sharing pattern of the scheme between Central and State Government is in the ratio of 60:40.', 'A portion of Natural Resource Management (NRM) works of PMKSY can be converged with MGNREGS.', 'Government of India had announced the launching of new generation watersheds based on revised guidelines.', 'On getting approval of new projects by Government of India by 2021-22, the preparatory phase of implementation of new projects has to be undertaken.', 'The major activities expected in 2021-22 are preparation of Detailed Project Reports, execution of entry point activities, capacity building and other related activities.', 'The scheme comes under the broad umbrella of ‘Haritha Keralam Mission’.', 'An amount of ₹1000.00 lakh is provided for meeting the 40% State share of PMKSY - Watershed component projects during 2021-22.']","The Government of India merged the erstwhile Integrated Watershed Management Programme (IWMP) with the Pradhan Mantri Krishi Sinchai Yojana (PMKSY) in 2015-16 and thereafter IWMP is being implemented as watershed component of the PMKSY.$*The present cost norm is ₹15,000/- per hectare for hilly areas and ₹12,000/- per hectare for plain areas.$*On getting approval of new projects by Government of India by 2021-22, the preparatory phase of implementation of new projects has to be undertaken.$*The major activities expected in 2021-22 are preparation of Detailed Project Reports, execution of entry point activities, capacity building and other related activities.$*An amount of ₹1000.00 lakh is provided for meeting the 40% State share of PMKSY - Watershed component projects during 2021-22."
10,RIDF – NABARD assisted scheme,3022.00,"Grama Panchayats ₹722.00 lakh,Block Panchayats ₹1000.00 lakh,District Panchayats ₹1300.00 lakh,Total ₹3022.00 lakh .","['Grama Panchayats ₹722.00 lakh,Block Panchayats ₹1000.00 lakh,District Panchayats ₹1300.00 lakh,Total ₹3022.00 lakh .']","Grama Panchayats ₹722.00 lakh,Block Panchayats ₹1000.00 lakh,District Panchayats ₹1300.00 lakh,Total ₹3022.00 lakh ."
11  ,Deendayal Antyodaya Yojana – National Rural Livelihoods Mission (DAY-NRLM) (General) (40% State Share),6500.00,"Block Panchayats ₹6500 lakh, Total ₹6500 lakh   .

","['Block Panchayats ₹6500 lakh, Total ₹6500 lakh   .']","Block Panchayats ₹6500 lakh, Total ₹6500 lakh   ."
12,Administrative cost of Poverty Alleviation Units in the District Panchayats (erstwhile DRDAs) (40% State Share),500. 00,"District Panchayat ₹500.00 lakh,total ₹500.00 lakh.","['District Panchayat ₹500.00 lakh,total ₹500.00 lakh.']","District Panchayat ₹500.00 lakh,total ₹500.00 lakh."
13,Pradhan Mantri Awaas Yojana - Gramin (PMAY – G) (General) (40% State Share),1000.00,"Block Panchayats ₹1000.00 ,total ₹1000.00 lakh.","['Block Panchayats ₹1000.00 ,total ₹1000.00 lakh.']","Block Panchayats ₹1000.00 ,total ₹1000.00 lakh."
a,Kerala Institute of Local Administration (KILA),3000.00,"
In the context of second phase of decentralisation, the State shall focus on sustainable development goals, decentralised disaster management and address other issues of rapid urbanisation. The capacity building efforts need to be strengthened for Rural and Urban Local Governments to enhance the institutional capacities for improved service delivery. Hence, KILA shall focus on building competence and professionalism among Local Governments for building managerial capacity for modern accounting, budgeting, expenditure management practices, outcome based monitoring,  internal controls, land and ecosystem management through spatial concerns, revenue mobilization including improvements in property tax administration, asset management and asset valuation, quality management, participatory management, use of Information Technologies and robust information systems through e-governance, etc.
        Reliable local services, inclusive local policies and effective partnership within local communities are crucial to achieve stability, promoting sustainable development and increasing quality of life of citizens, ensuring the protection of environment as also scarce resources at local levels.  In order to achieve this, the citizens also should have the capacity to put forward their needs and ideas to improve their community and hold the local governments accountable. This capacity building is possible only through need based training being arranged to selected citizens from the Gramasabhas/Oorukoottams at grass root levels. This is quite possible by decentralising the training programmes of KILA further to the districts and lower levels, in collaboration with DPCs in each district. 
The outlay provided is for the programmes of KILA and for meeting the expenses towards the development of five sub centres handed over to KILA.  The expenses of State Resource Group formed by the LSGD for providing support services to the formulation and implementation of Local Government Plans will also be from this scheme. State Resource Group will initiate the following programmes during 2021-22.
A programme to identify the model/innovative projects undertaken by the Local Governments all over the State and bring them to the public domain will be initiated. As per this initiative, the model projects undertaken by the Local Governments will be selected and presented at the block level where they will be graded and the best of which will be presented at district level. A regional level seminar will be conducted where thematic best projects will be presented in each region. The event will culminate with a state level seminar wherein the most outstanding ones will be presented. ","['\nIn the context of second phase of decentralisation, the State shall focus on sustainable development goals, decentralised disaster management and address other issues of rapid urbanisation.', 'The capacity building efforts need to be strengthened for Rural and Urban Local Governments to enhance the institutional capacities for improved service delivery.', 'Hence, KILA shall focus on building competence and professionalism among Local Governments for building managerial capacity for modern accounting, budgeting, expenditure management practices, outcome based monitoring,  internal controls, land and ecosystem management through spatial concerns, revenue mobilization including improvements in property tax administration, asset management and asset valuation, quality management, participatory management, use of Information Technologies and robust information systems through e-governance, etc.', 'Reliable local services, inclusive local policies and effective partnership within local communities are crucial to achieve stability, promoting sustainable development and increasing quality of life of citizens, ensuring the protection of environment as also scarce resources at local levels.', 'In order to achieve this, the citizens also should have the capacity to put forward their needs and ideas to improve their community and hold the local governments accountable.', 'This capacity building is possible only through need based training being arranged to selected citizens from the Gramasabhas/Oorukoottams at grass root levels.', 'This is quite possible by decentralising the training programmes of KILA further to the districts and lower levels, in collaboration with DPCs in each district.', 'The outlay provided is for the programmes of KILA and for meeting the expenses towards the development of five sub centres handed over to KILA.', 'The expenses of State Resource Group formed by the LSGD for providing support services to the formulation and implementation of Local Government Plans will also be from this scheme.', 'State Resource Group will initiate the following programmes during 2021-22.', 'A programme to identify the model/innovative projects undertaken by the Local Governments all over the State and bring them to the public domain will be initiated.', 'As per this initiative, the model projects undertaken by the Local Governments will be selected and presented at the block level where they will be graded and the best of which will be presented at district level.', 'A regional level seminar will be conducted where thematic best projects will be presented in each region.', 'The event will culminate with a state level seminar wherein the most outstanding ones will be presented.']",State Resource Group will initiate the following programmes during 2021-22.
b,Centre for Human Resource Development (KILA - CHRD – erstwhile SIRD) (50% State Share),150.00,"Centre for Human Resource Development (KILA –CHRD) is the erstwhile State Institute of Rural Development (SIRD), Kottarakkara. The outlay provided is for meeting salary, training & research, office expenses and other administrative expenses. Central share of this component is availed from the GoI scheme viz; ‘Management Support to Rural Development Programmes and Strengthening District Planning Process etc. An amount of ₹150.00 lakh is provided as 50% State share for the functioning of KILA – CHRD (erstwhile SIRD) during the year 2021-22.","['Centre for Human Resource Development (KILA –CHRD) is the erstwhile State Institute of Rural Development (SIRD), Kottarakkara.', 'The outlay provided is for meeting salary, training & research, office expenses and other administrative expenses.', 'Central share of this component is availed from the GoI scheme viz; ‘Management Support to Rural Development Programmes and Strengthening District Planning Process etc.', 'An amount of ₹150.00 lakh is provided as 50% State share for the functioning of KILA – CHRD (erstwhile SIRD) during the year 2021-22.']",An amount of ₹150.00 lakh is provided as 50% State share for the functioning of KILA – CHRD (erstwhile SIRD) during the year 2021-22.
3,Modernisation and capacity building initiatives in Directorate of Panchayats,100.00,"The objective of the scheme is modernisation and capacity building initiatives of the staff in the Directorate of Panchayats and the offices under the Directorate.An amount of ₹100.00 lakh is provided for the scheme during 2021-22.
",['The objective of the scheme is modernisation and capacity building initiatives of the staff in the Directorate of Panchayats and the offices under the Directorate.An amount of ₹100.00 lakh is provided for the scheme during 2021-22.'],The objective of the scheme is modernisation and capacity building initiatives of the staff in the Directorate of Panchayats and the offices under the Directorate.An amount of ₹100.00 lakh is provided for the scheme during 2021-22.
5,Special Development fund for MLA – Area Development,14100.00,"The scheme, that started in 2001-02, aims at implementation of developmental works of legislative assembly areas in Kerala. The scheme is being implemented in the same pattern of the MP’s Local Area Development Scheme. Under this scheme each MLA gets ₹100.00 lakh each per year for implementing developmental activities in respective Assembly constituency. An amount of ₹14100.00 lakh is provided for the scheme during 2021-22.
","['The scheme, that started in 2001-02, aims at implementation of developmental works of legislative assembly areas in Kerala.', 'The scheme is being implemented in the same pattern of the MP’s Local Area Development Scheme.', 'Under this scheme each MLA gets ₹100.00 lakh each per year for implementing developmental activities in respective Assembly constituency.', 'An amount of ₹14100.00 lakh is provided for the scheme during 2021-22.']","The scheme, that started in 2001-02, aims at implementation of developmental works of legislative assembly areas in Kerala.$*Under this scheme each MLA gets ₹100.00 lakh each per year for implementing developmental activities in respective Assembly constituency.$*An amount of ₹14100.00 lakh is provided for the scheme during 2021-22."
6,Swachh Bharat Mission (Gramin) (40% State Share),3500.00,"Government of India restructured and renamed the erstwhile ‘Nirmal Bharat Abhiyan’ as Swachh Bharat Mission (Gramin) w.e.f. 02.10.2014. The sharing pattern between Central and State Government is in the ratio of 60:40. The main objectives of the programme are;
Improving the general quality of life in rural areas
Maintain sanitation coverage in rural areas to achieve the vision of Swachh Bharat and  ensure Open Defecation Free (ODF) sustainability of all Grama Panchayats
Motivate communities and Panchayati Raj institutions in promoting sustainable sanitation facilities including proper waste management and cleanliness through awareness creation and health education.
Grama Panchayats, Block Panchayats and District Panchayats are the implementing agencies of the programme. The IEC activities are co-ordinated mainly through the Suchitwa Mission at the state level and District Suchitwa Mission at the district level partnering the three tier panchayats.
Though Kerala has attained ODF status, unprecedented floods and landslides that hit Kerala in 2018 & 2019 has damaged many household, community and institutional solid waste management systems in about 635 Local Governments across 14 districts of the State. The guideline stipulates construction of new structures only. However, in the year 2021-22, efforts will be taken to rebuild the household, community and institutional solid waste management facilities that were lost in the flood with the approval of GoI.
The scheme comes under the broad umbrella of ‘Haritha Keralam Mission’. An amount of ₹3500.00 lakh is provided as 40% State share for the scheme during 2021-22.
","['Government of India restructured and renamed the erstwhile ‘Nirmal Bharat Abhiyan’ as Swachh Bharat Mission (Gramin) w.e.f.', '02.10.2014.', 'The sharing pattern between Central and State Government is in the ratio of 60:40.', 'The main objectives of the programme are;\nImproving the general quality of life in rural areas\nMaintain sanitation coverage in rural areas to achieve the vision of Swachh Bharat and  ensure Open Defecation Free (ODF) sustainability of all Grama Panchayats\nMotivate communities and Panchayati Raj institutions in promoting sustainable sanitation facilities including proper waste management and cleanliness through awareness creation and health education.', 'Grama Panchayats, Block Panchayats and District Panchayats are the implementing agencies of the programme.', 'The IEC activities are co-ordinated mainly through the Suchitwa Mission at the state level and District Suchitwa Mission at the district level partnering the three tier panchayats.', 'Though Kerala has attained ODF status, unprecedented floods and landslides that hit Kerala in 2018 & 2019 has damaged many household, community and institutional solid waste management systems in about 635 Local Governments across 14 districts of the State.', 'The guideline stipulates construction of new structures only.', 'However, in the year 2021-22, efforts will be taken to rebuild the household, community and institutional solid waste management facilities that were lost in the flood with the approval of GoI.', 'The scheme comes under the broad umbrella of ‘Haritha Keralam Mission’.', 'An amount of ₹3500.00 lakh is provided as 40% State share for the scheme during 2021-22.']","However, in the year 2021-22, efforts will be taken to rebuild the household, community and institutional solid waste management facilities that were lost in the flood with the approval of GoI.$*An amount of ₹3500.00 lakh is provided as 40% State share for the scheme during 2021-22."
